,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Kohl Building - Total Electricity Use (kWh),Science Center - Electricity Use (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh),Lord-Saunders Electricity use (kWh)
2023-01-10,4.84402,9.338751,85.97475,1.7599583,5.365248,10.9515295,1.7852796,2.7950585,1.0593278,1.1178707,0.90549886,2.2222087
2023-01-11,4.5549135,9.348683,85.41559,1.6781472,4.9796853,11.297711,1.688166,3.3263276,1.1252158,1.1039898,0.8758035,2.2708778
2023-01-12,4.507038,9.304446,87.32257,1.685512,4.6832895,11.628461,1.6966922,3.8741863,1.2041856,1.0939077,0.8146197,2.5828884
2023-01-13,5.157771,9.6893215,88.75002,1.6696229,4.125453,12.312021,1.7505965,4.3941917,1.239826,1.0293168,0.79485106,3.003645
2023-01-14,5.0744586,9.859255,89.917305,1.6626087,3.689127,12.257896,1.7935343,4.912844,1.2149752,0.9561944,0.7890026,3.1951072
2023-01-15,4.6392674,9.660958,90.847855,1.6660917,2.9905372,11.658047,1.8553872,5.0749583,1.0734543,0.8439367,0.7197346,2.978403
2023-01-16,4.8188725,9.582399,91.1242,1.6084278,2.4162602,11.502786,1.9495993,5.207626,0.92000943,0.7173901,0.68494534,2.6232047
2023-01-17,4.3343296,9.333781,92.72883,1.5387535,2.4780595,11.238003,2.0182807,5.264258,0.847254,0.639429,0.69333977,2.1769822
2023-01-18,3.3901496,9.107761,95.840935,1.5430812,2.943744,10.538087,2.2270994,5.124781,0.8395975,0.6038048,0.6751882,2.0710979
2023-01-19,3.0381105,9.325807,98.50291,1.6005548,3.7589185,9.8440075,2.6935027,5.0912323,0.8973686,0.61975706,0.6804265,2.5044916
2023-01-20,3.0446463,9.457375,101.87089,1.5474758,4.4892,8.759945,2.929949,4.962089,0.9194588,0.7330729,0.66590554,2.8992
2023-01-21,3.7628791,9.436979,94.34471,1.5356252,4.56743,8.846816,3.1795092,5.0186844,0.9093901,0.8444052,0.70145607,3.1431556
2023-01-22,3.90162,9.734937,101.20891,1.5858989,5.4751425,9.124004,3.2310667,5.5500646,0.97700125,1.0023094,0.6631154,3.335953
2023-01-23,4.2278466,9.773203,107.40136,1.7656938,5.9326553,9.668387,3.5872364,6.3190312,1.1389128,1.1705413,0.7306871,4.007861
2023-01-24,4.181118,9.730221,108.39168,1.8516204,6.5061746,9.936273,3.6816835,6.643374,1.2059507,1.1929533,0.8201713,4.3289275
2023-01-25,4.2160864,9.745349,105.160774,1.7917465,7.2862234,10.5964775,3.6245458,6.584649,1.1622052,1.0209671,0.8571324,4.1789484
2023-01-26,4.192935,9.785924,100.37736,1.6755946,7.420393,11.2284775,3.589487,6.5929837,1.1107715,0.894711,0.8542374,4.0649037
2023-01-27,3.7593124,9.733242,95.303444,1.587068,6.7354345,11.303509,3.613898,6.8065343,1.0970634,0.9003831,0.83056825,3.9812963
2023-01-28,3.1859524,9.729819,93.176544,1.6011527,6.3746266,11.2402,3.7751281,7.4028716,1.1488924,0.972985,0.8253634,3.9009397
2023-01-29,2.9802516,9.932095,92.9333,1.6756107,6.318329,11.625516,4.0403304,8.09797,1.2377956,1.0184959,0.82366735,3.9469597
2023-01-30,3.182201,9.92724,93.78207,1.7714375,6.4886646,12.106377,4.2444263,8.714466,1.3154945,0.9876123,0.8192465,3.9005585
2023-01-31,3.5412517,9.448717,92.68298,1.8671647,7.060598,12.94322,4.268596,9.029193,1.2914032,0.9703694,0.7767805,3.8252969
2023-02-01,3.9617498,9.037799,91.62489,1.9844639,7.4081054,13.500002,4.2477126,9.349999,1.268411,0.96781635,0.7258735,3.8390563
2023-02-02,4.070575,8.685291,91.961365,2.122295,7.9829717,14.166032,4.2800527,9.75264,1.2683033,1.0419852,0.6712671,4.0321116
2023-02-03,3.8349957,8.386073,94.82887,2.2965477,8.649823,14.871918,4.344964,10.195451,1.3444786,1.1885622,0.6600241,4.3108974
2023-02-04,3.334381,8.107368,98.62258,2.5027525,9.0996685,14.948198,4.4521623,10.498804,1.4495329,1.375649,0.6768796,4.618652
2023-02-05,2.7410173,7.8823867,101.73619,2.646794,8.972649,14.255374,4.506818,10.558766,1.5313143,1.5219404,0.6680027,4.839518
2023-02-06,2.4469683,7.6632066,102.05372,2.717768,9.663523,14.136565,4.5555487,10.69473,1.6139711,1.5879793,0.68824124,5.0668516
2023-02-07,2.5457287,7.5847077,101.92775,2.7467365,11.682439,15.010424,4.536634,11.200049,1.6667756,1.5543069,0.6482818,5.155624
2023-02-08,2.6970325,7.655768,104.21324,2.794171,13.831516,16.275295,4.583941,11.900021,1.7428088,1.4927174,0.58165944,5.276187
2023-02-09,2.7690816,7.900835,108.70014,2.9251232,14.758856,17.54971,4.8711066,12.609829,1.8663996,1.573985,0.60406584,5.6119246
2023-02-10,2.5619793,8.099227,112.93771,2.975693,13.437953,17.119474,5.057972,12.546173,1.8934467,1.671311,0.65374887,5.729841
2023-02-11,2.315061,8.174098,115.201866,2.9476583,12.383864,16.465612,5.094443,12.248882,1.8616037,1.7014776,0.678303,5.7217493
2023-02-12,2.2319322,8.170123,115.12674,2.8504748,11.991875,15.258049,4.98194,11.869888,1.7856863,1.5954844,0.68341446,5.4372816
2023-02-13,2.3779678,8.401307,108.495186,2.7251275,12.170018,14.2841015,4.9349856,11.5404825,1.6915351,1.4206263,0.6702637,5.0687957
2023-02-14,2.4436324,8.876403,109.524155,2.5219738,12.721601,14.192095,4.8329325,11.426857,1.5954297,1.3181452,0.5515992,4.7906218
2023-02-15,2.300045,9.151397,118.17129,2.3939278,12.953951,14.286207,4.699551,11.327954,1.5439838,1.3549197,0.50937897,4.8726964
2023-02-16,1.9581594,9.206804,121.424355,2.368346,13.262346,14.419889,4.688065,11.405915,1.5368658,1.4373877,0.6097234,5.270249
