Timestamp,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Kohl Building - Total Electricity Use (kWh),Science Center - Electricity Use (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh),Lord-Saunders Electricity use (kWh)
2023-01-10,4.6086245,8.918864,88.50981,1.9845514,5.8195996,10.125177,1.8350358,2.6120877,1.0556712,1.0546306,0.9777883,1.9973854
2023-01-11,3.7270708,8.829932,90.43997,1.9819499,5.9877796,9.790707,1.808901,2.9520092,1.114613,1.0819744,0.98023885,1.8876992
2023-01-12,2.7034907,8.999493,92.59846,1.9471679,6.2568903,9.752617,1.8444196,3.383801,1.1281047,1.2140499,1.0048714,2.1415997
2023-01-13,2.5933712,8.424916,93.73178,1.9513808,6.38247,10.012092,1.9167767,3.7020793,1.1764265,1.1885679,1.0308836,2.5739732
2023-01-14,3.681867,7.308153,95.38076,1.9065982,6.248529,10.695629,1.9333881,4.2494664,1.1932749,1.0494454,1.061285,2.911078
2023-01-15,4.466717,5.8912816,99.533134,1.8797712,6.5131903,11.704802,1.9849977,5.125584,1.1747311,1.0600933,1.128049,3.3072517
2023-01-16,4.457468,5.5919557,99.7759,1.8010322,6.0610843,11.583705,1.9850228,5.166417,1.0869194,1.0885712,1.0988313,3.1904242
2023-01-17,4.219276,5.845031,100.02718,1.7102271,5.8384438,11.3665085,1.9108754,4.9615088,1.0115085,1.0393875,1.0443014,2.9075062
2023-01-18,4.02493,6.5271263,96.7977,1.6184028,5.3890347,11.002035,1.8084146,4.721023,0.9537785,0.9416851,0.9725429,2.6438336
2023-01-19,3.7224073,7.0542765,93.13236,1.4983063,4.9923787,9.987234,1.6426975,4.4205265,0.8697302,0.8107429,0.8763827,2.3333392
2023-01-20,3.4073756,7.2703786,91.61405,1.416078,4.7100544,9.106964,1.4566274,4.069414,0.7673926,0.7278595,0.79636705,2.17665
2023-01-21,3.4254494,7.54039,92.977776,1.409664,4.5217915,9.244637,1.3501087,3.8329387,0.7251066,0.7104791,0.73926824,2.2650034
2023-01-22,3.8425543,7.9979663,95.28243,1.470879,4.2968163,10.203614,1.3424712,3.7720344,0.74996346,0.7435323,0.68773746,2.4066272
2023-01-23,4.3147297,8.566389,96.837814,1.5394689,3.9877596,10.880422,1.4685551,3.8385913,0.7974186,0.78800386,0.65204495,2.4810526
2023-01-24,4.4666533,8.969868,97.83529,1.5864773,3.6277764,10.830953,1.6422986,3.9089074,0.8383192,0.816715,0.6275231,2.4066133
2023-01-25,4.2793856,9.356955,96.90503,1.599356,3.5468614,10.216458,1.7634765,3.8954897,0.8547846,0.8200731,0.60755724,2.2273865
2023-01-26,3.9319098,9.772312,94.993576,1.5474161,3.732396,9.377107,1.823179,3.9092734,0.8307543,0.8211974,0.61620325,2.0178921
2023-01-27,3.5095162,10.069732,94.41942,1.4758364,4.2351604,8.497362,1.856052,4.0436134,0.7949621,0.8472899,0.66658545,1.8289855
2023-01-28,3.1293652,10.097458,97.05362,1.4098073,5.040834,7.9348235,1.9115087,4.2751737,0.7789625,0.93021154,0.72232294,1.7705417
2023-01-29,2.9448504,9.968861,101.35609,1.3352224,5.5357556,7.6424685,1.9573158,4.3949924,0.77882904,1.0110708,0.74155045,1.8139547
2023-01-30,2.931246,9.839956,105.13427,1.2871627,5.6714354,7.3717256,2.0003433,4.3780236,0.8117922,1.0200876,0.723885,1.8713315
2023-01-31,3.1344383,10.209345,106.7304,1.2620296,5.970362,7.4219136,2.054706,4.178342,0.9060337,0.96531683,0.66451705,1.9770063
2023-02-01,3.6163287,10.965457,103.52096,1.2617906,5.846251,7.8277354,2.1284852,4.0282745,0.9908691,0.9382981,0.6035697,2.3398578
2023-02-02,4.0531874,11.925546,99.86727,1.316504,5.524583,8.070857,2.1272252,4.2021866,1.0124352,0.9392475,0.54777396,2.6088603
2023-02-03,4.0993247,12.655323,97.17218,1.4098442,5.3072476,7.7992435,2.0495937,4.4326987,1.0240303,0.9789299,0.53032166,2.6511416
2023-02-04,3.8593261,13.140937,94.62871,1.4622835,5.1203933,7.2784543,1.9799448,4.6381745,1.0115008,0.9999726,0.54781264,2.5613487
2023-02-05,3.6271129,13.782433,93.86872,1.5250864,5.250446,7.2664833,1.9623975,4.9170594,1.0242833,1.0135205,0.581983,2.4920516
2023-02-06,3.5714102,14.830171,94.97415,1.6158091,5.7223825,7.5568414,1.9910144,5.273417,1.0612001,1.0453402,0.6353776,2.5385258
2023-02-07,3.8321397,16.054922,97.33239,1.6648827,6.2306523,7.8802247,2.0510464,5.713578,1.1128173,1.0751345,0.6972428,2.697041
2023-02-08,4.2782493,17.164955,98.838455,1.6930335,6.695241,8.30664,2.1518924,6.2367363,1.1612866,1.1008263,0.7607788,2.8315158
2023-02-09,4.793668,17.974016,98.68773,1.7068169,7.232585,8.830351,2.2610905,6.9121666,1.2284805,1.1295583,0.82330716,2.9290342
2023-02-10,5.335304,18.088087,96.15391,1.6746323,8.129262,9.384236,2.280484,7.7982693,1.296881,1.1717772,0.8923536,2.9808612
2023-02-11,5.341931,17.382753,92.84579,1.6513612,9.005404,10.17137,2.1732068,8.557554,1.3420507,1.1717842,0.95231545,2.9283082
2023-02-12,4.5619316,16.133976,90.49133,1.7005168,9.582979,10.966514,2.0335293,9.174086,1.3669605,1.1601213,1.0068307,2.8377984
2023-02-13,3.5709298,15.673248,90.73762,1.7300425,9.95569,11.415583,2.0143275,9.305789,1.323387,1.1496263,1.0359787,2.8546762
2023-02-14,3.1748428,16.19815,93.29977,1.692501,10.013697,11.13789,2.0752907,8.760282,1.2308038,1.130372,1.0582538,2.794347
2023-02-15,3.9765503,17.318584,96.717865,1.4690107,9.890939,10.573236,2.041357,7.7856436,1.1329974,1.0669365,1.0663882,2.5275521
2023-02-16,5.3129897,18.503262,101.814354,1.3556743,10.304198,10.274608,1.8839788,7.4098063,1.1248951,1.0526074,1.1646186,2.507521
2023-02-17,6.341991,20.105505,104.111046,1.3484212,10.690261,9.899663,1.8148988,8.00887,1.2022839,1.0849645,1.2630496,2.6814153
2023-02-18,6.6506953,21.823887,103.763,1.4333994,10.942958,10.290812,1.9139165,9.084483,1.3032808,1.1520717,1.3482108,2.820221
2023-02-19,6.339486,22.450533,101.81214,1.5481532,11.039256,11.220087,1.9510096,10.170217,1.3958335,1.2036135,1.4316456,2.7914298
2023-02-20,5.5091887,21.296186,99.484886,1.5858963,11.032019,11.76248,1.8564863,10.646497,1.40646,1.1766361,1.4602705,2.529613
2023-02-21,4.7492256,19.62702,97.468544,1.5713254,10.81665,11.704931,1.6325938,10.233279,1.3351939,1.1093739,1.4368045,2.2622447
2023-02-22,4.4475584,18.71927,97.04617,1.5578701,10.588761,11.423053,1.404297,9.344328,1.2366694,1.0439492,1.3942446,2.1148787
2023-02-23,4.7730575,19.118723,99.204544,1.539276,10.342055,10.4526825,1.2012898,8.4091625,1.1683258,0.9811295,1.3682824,2.0495596
2023-02-24,5.4724073,20.79437,103.09428,1.5070614,9.858216,8.976453,0.9819009,7.845079,1.1264424,0.94022197,1.3784844,2.167892
2023-02-25,6.1535597,22.816986,106.449486,1.525079,9.387682,8.084986,0.900436,8.08098,1.139398,0.95284647,1.4218926,2.5129542
2023-02-26,6.5495567,24.2941,106.75336,1.553609,9.272902,7.992896,0.9273264,8.944129,1.2052484,1.0131903,1.4912548,2.9008675
2023-02-27,6.525846,24.441015,103.99487,1.5039966,9.248634,8.082665,0.97817045,9.79559,1.2713329,1.0670555,1.5362726,2.9462879
2023-02-28,6.0758147,22.952385,100.3804,1.4788151,9.16611,8.126701,0.9944627,10.230729,1.3195689,1.0780046,1.5346227,2.6298592
2023-03-01,5.386187,20.799555,97.14716,1.5077751,9.076852,8.11797,0.9308681,9.965259,1.3038628,1.0472461,1.5114249,2.228209
2023-03-02,4.9166837,19.488558,96.09705,1.5524516,8.76188,8.060435,0.80540484,9.214884,1.2406509,0.9827944,1.4736155,1.8494602
2023-03-03,4.959457,19.6364,97.13834,1.6252182,8.4288645,7.922915,0.67312586,8.44279,1.1972396,0.91950744,1.4584588,1.6218264
2023-03-04,5.43641,20.884771,99.73707,1.7176303,8.137832,7.5870614,0.5673917,8.018523,1.1930965,0.91911757,1.4679497,1.6064085
2023-03-05,6.0494237,22.541481,102.3521,1.8734974,8.048961,7.628167,0.58434504,8.206243,1.2540456,0.97947973,1.5029074,1.8588997
2023-03-06,6.327789,23.949009,102.825485,1.9848943,8.561456,7.8428574,0.66309977,8.613783,1.3416411,1.0792332,1.5166457,2.217683
2023-03-07,6.114688,24.162214,100.072075,1.9934611,9.546108,8.031638,0.69583845,8.882168,1.4212966,1.1924903,1.4936081,2.514138
2023-03-08,5.681265,22.43188,95.601494,1.9391515,10.303483,7.985015,0.6228696,8.978543,1.4385415,1.2830236,1.470739,2.5770175
2023-03-09,5.315286,19.64173,92.03781,1.8678013,10.128056,7.494725,0.60986,8.806165,1.3725111,1.2834519,1.4472824,2.2684171
