Facility,Adam Joseph Lewis Center,Asia House,East,Fairchild,Harvey,Kahn,Kohl Building,Lord,Noah,North,Saunders,Science Center,Talcott
Meter name,Gross Electricity Consumption,Residential Electricity Use,Electricity Use,Residential Electricity Use,Electricity Use,Total Electricity Use,Total Electricity Use,Electricity Use,Electricity Use,Electricity Use,Electricity Use,Electricity Use,Residential Electricity Use
Meter id,oberlin_ajlc_siteegross,oberlin_asia_res_tot_e,oberlin_east_main_e,oberlin_fairchild_res_tot_e,oberlin_harvey_e,oberlin_kahn_main_e,oberlin_kohlbuilding_electricity_wholebuilding_totalelectricityuse,oberlin_lord_e,oberlin_noah_main_e,oberlin_north_main_e,oberlin_saunders_e,oberlin_sciencecenter_total_e,oberlin_talcott_res_tot_e

Timestamp,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Kohl Building - Total Electricity Use (kWh),Lord - Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Saunders - Electricity Use (kWh),Science Center - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh)
2022-12-28 05:30,5.41625,1.1975,4.125,0.48,0.4795,9.475,,0.7775,1.72,,0.6575,92.0,0.775
2022-12-28 05:45,5.6925,1.1925,4.115,0.8525,0.4865,9.825,,0.82,1.72,,0.64,96.0,0.6925
2022-12-28 06:00,5.32625,1.1875,4.09,0.56875,0.504,9.4,,0.8325,1.75,,0.64,94.0,0.75375
2022-12-28 06:15,4.87,1.125,4.08,0.5,0.47075,9.425,,0.7925,1.78,,0.6375,94.0,0.8275
2022-12-28 06:30,5.34875,1.16125,4.185,0.555,0.448,9.725,,0.8225,1.75,,0.62,94.0,0.76375
2022-12-28 06:45,4.93,1.2075,4.6,0.57125,0.47075,9.5,,0.82,1.73,,0.6,96.0,0.78375
2022-12-28 07:00,5.115,1.14625,4.685,0.665,0.532,9.8,,0.785,1.74,,0.63,98.0,0.76
2022-12-28 07:15,4.96125,1.26875,4.53,0.6675,0.4865,9.5,,0.9125,1.78,,0.645,98.0,0.81
2022-12-28 07:30,5.33375,1.24625,4.465,0.505,0.49525,9.15,,1.0025,1.79,,0.6175,98.0,0.8025
2022-12-28 07:45,5.0425,1.385,4.29,0.635,0.504,9.275,,0.98,1.65,,0.675,96.0,0.8575
2022-12-28 08:00,4.89625,1.365,4.25,0.51,0.48825,8.95,,0.935,1.58,,0.6725,96.0,0.8475
2022-12-28 08:15,4.2825,1.33375,4.155,0.53,0.462,9.225,,0.8175,1.53,,0.64,96.0,0.79125
2022-12-28 08:30,4.3475,1.3025,4.145,0.8425,0.46375,9.2,,0.895,1.57,,0.645,98.0,0.8725
2022-12-28 08:45,4.6325,1.26875,4.2,0.67125,0.469,8.9,,0.855,1.57,,0.655,94.0,0.80375
2022-12-28 09:00,4.34875,1.34375,4.21,0.43375,0.46375,9.25,,0.8425,1.56,,0.585,96.0,0.8475
2022-12-28 09:15,4.09875,1.17625,4.075,0.4975,0.47075,8.8,,0.94,1.53,,0.645,98.0,0.8175
2022-12-28 09:30,4.7425,1.3175,4.165,0.6075,0.4795,8.975,,0.86,1.63,,0.6125,98.0,0.865
2022-12-28 09:45,4.90875,1.28375,4.03,0.46375,0.44625,8.875,,0.825,1.57,,0.655,98.0,0.81625
2022-12-28 10:00,4.24375,1.3675,4.155,0.52875,0.45675,7.925,,1.02,1.52,,0.615,98.0,0.84625
2022-12-28 10:15,4.22,1.29625,4.25,0.52125,0.5075,8.25,,1.03,1.56,,0.66,96.0,0.8675
2022-12-28 10:30,4.05375,1.29,4.305,0.49875,0.476,7.225,,1.06,1.52,,0.655,98.0,0.825
2022-12-28 10:45,3.99,1.4,4.235,0.4425,0.46375,7.05,,1.0775,1.54,,0.6225,98.0,0.81125
2022-12-28 11:00,3.98375,1.17,4.14,0.5,0.46725,6.95,,0.905,1.7,,0.6625,100.0,0.7625
2022-12-28 11:15,4.23875,1.23875,4.105,0.53,0.448,6.425,,0.8275,1.56,,0.625,96.0,0.85375
2022-12-28 11:30,3.99125,1.2,4.17,0.45625,0.47425,6.3,,0.7875,1.51,,0.6525,98.0,0.81875
2022-12-28 11:45,4.0825,1.39125,4.22,0.37875,0.504,6.1,,0.78,1.55,,0.63,100.0,0.85875
2022-12-28 12:00,4.10875,1.35875,4.115,0.45375,0.51975,6.325,,0.7875,1.51,,0.5825,98.0,0.79
2022-12-28 12:15,4.03875,1.32625,4.18,0.4425,0.44975,6.45,,0.8175,1.5,,0.6225,100.0,0.87
2022-12-28 12:30,4.00125,1.34125,4.115,0.5225,0.46025,7.15,,0.9125,1.62,,0.6325,100.0,0.84375
2022-12-28 12:45,3.81625,1.30375,4.155,0.49875,0.47425,6.55,,0.81,1.61,,0.6025,100.0,0.75375
2022-12-28 13:00,3.83125,1.34,4.185,0.5475,0.48125,7.075,,0.7625,1.58,,0.6325,100.0,0.7625
2022-12-28 13:15,4.26625,1.2225,4.275,0.5925,0.4865,7.4,,0.7975,1.54,,0.68,98.0,0.81875
2022-12-28 13:30,3.86875,1.2775,4.025,0.475,0.4865,7.325,,0.7875,1.49,,0.655,102.0,0.89
2022-12-28 13:45,3.79,1.30375,3.96,0.43875,0.4445,7.4,,0.76,1.54,,0.61,98.0,0.85375
2022-12-28 14:00,4.14,1.33,4.1,0.45875,0.448,7.35,,0.7775,1.51,,0.5925,100.0,0.78125
2022-12-28 14:15,3.92625,1.2325,4.05,0.59,0.49875,8.0,,0.705,1.56,,0.61,98.0,0.73125
2022-12-28 14:30,3.95375,1.205,4.18,0.35875,0.476,7.975,,0.6875,1.57,,0.5875,100.0,0.74625
2022-12-28 14:45,3.83875,1.2775,4.0,0.4525,0.476,8.05,,0.67,1.54,,0.64,98.0,0.77625
2022-12-28 15:00,3.81875,1.2075,3.95,0.4775,0.469,7.925,,0.7275,1.53,,0.5875,98.0,0.74
2022-12-28 15:15,4.07875,1.275,3.92,0.5575,0.455,8.05,,0.69,1.54,,0.645,98.0,0.7125
2022-12-28 15:30,3.79625,1.22875,3.915,0.465,0.4725,6.9,,0.685,1.51,,0.62,98.0,0.7675
2022-12-28 15:45,3.72,1.30125,4.16,0.4975,0.4795,7.575,,0.6975,1.49,,0.61,100.0,0.74625
2022-12-28 16:00,3.8975,1.27125,4.105,0.4175,0.462,7.175,,0.735,1.46,,0.61,96.0,0.75125
2022-12-28 16:15,3.87,1.23625,3.875,0.3575,0.47075,7.575,,0.7675,1.56,,0.625,96.0,0.69
2022-12-28 16:30,4.10375,1.30875,3.885,0.51,0.4655,7.975,,0.765,1.5,,0.6175,96.0,0.71125
2022-12-28 16:45,3.98375,1.2425,3.995,0.4475,0.49525,8.775,,0.7825,1.54,,0.595,96.0,0.73625
2022-12-28 17:00,4.565,1.3075,3.815,0.4875,0.49525,8.55,,0.7825,1.59,,0.59,96.0,0.7725
2022-12-28 17:15,4.67125,1.265,3.955,0.485,0.455,8.4,,0.75,1.77,,0.6275,98.0,0.75875
2022-12-28 17:30,4.665,1.2575,4.265,0.435,0.476,9.15,,0.7575,1.83,,0.6025,98.0,0.73
2022-12-28 17:45,4.70375,1.27875,4.14,0.545,0.50575,8.55,,0.7725,1.81,,0.6275,98.0,0.7775
2022-12-28 18:00,5.06375,1.2325,3.945,0.38375,0.497,8.5,,0.785,1.77,,0.635,98.0,0.72
2022-12-28 18:15,5.295,1.1975,3.945,0.40375,0.5075,9.225,,0.805,1.85,,0.6275,100.0,0.75
2022-12-28 18:30,5.61125,1.15375,4.055,0.4725,0.469,8.875,,0.7725,1.82,,0.6175,100.0,0.7375
2022-12-28 18:45,5.0925,1.32,3.975,0.51375,0.4585,8.725,,0.7825,1.77,,0.5825,96.0,0.745
2022-12-28 19:00,5.50375,1.21,3.92,0.38625,0.5005,9.1,,0.7675,1.79,,0.6025,96.0,0.75625
2022-12-28 19:15,5.22,1.23875,3.995,0.4425,0.49875,8.825,,0.765,1.88,,0.6125,96.0,0.80125
2022-12-28 19:30,5.98125,1.26875,3.99,0.56375,0.50225,9.175,,0.79,1.75,,0.5875,96.0,0.78125
2022-12-28 19:45,5.51,1.205,3.965,0.4575,0.49175,8.775,,0.76,1.74,,0.645,96.0,0.69875
2022-12-28 20:00,5.255,1.225,4.14,0.4675,0.47075,8.95,,0.8025,1.72,,0.63,98.0,0.73
2022-12-28 20:15,5.52875,1.17375,3.94,0.495,0.469,8.775,,0.795,1.72,,0.6425,98.0,0.76125
2022-12-28 20:30,5.31,1.3725,3.99,0.415,0.49,8.925,,0.785,1.8,,0.6225,100.0,0.7775
2022-12-28 20:45,5.4,1.28875,3.94,0.40625,0.52325,8.825,,0.7675,1.82,,0.57,94.0,0.74125
2022-12-28 21:00,5.13125,1.29375,4.025,0.45,0.49875,8.875,,0.7975,1.76,,0.61,98.0,0.76625
2022-12-28 21:15,5.1975,1.19875,3.975,0.50375,0.50575,8.925,,0.8175,1.76,,0.6175,96.0,0.79375
2022-12-28 21:30,4.78,1.17375,3.95,0.42875,0.49175,8.975,,0.78,1.77,,0.6225,98.0,0.7625
2022-12-28 21:45,5.02625,1.3025,3.97,0.445,0.48825,8.975,,0.765,1.79,,0.5675,94.0,0.715
2022-12-28 22:00,5.47625,1.285,3.985,0.45625,0.47075,8.85,,0.7625,1.82,,0.6525,96.0,0.74375
